100,0  19,2   	17,16
100,0  19,2   	17,27
100,0  19,2   	17,37
100,0  19,5   	17,48
100,0  19,5   	17,59
100,0  19,5   	17,69
100,0  19,5   	17,80
100,0  19,5   	17,90
100,0  19,6   	18,01
100,0  19,7   	18,11
 90,9  19,7   	18,21
100,0  19,7   	18,32
 90,9  19,7   	18,42
100,0  19,7   	18,53
 90,9  19,8   	18,63
100,0  19,8   	18,74
100,0  19,8   	18,84
100,0  19,8   	18,95
100,0  19,8   	19,05
 90,9  19,8   	19,15
100,0  19,9   	19,25
100,0  19,9   	19,36
100,0  19,9   	19,46
100,0  19,9   	19,57
 90,9  19,9   	19,67
100,0  19,9   	19,77
100,0  20,0   	19,88
100,0  20,0   	19,99
 90,9  20,0   	20,09
100,0  20,0   	20,19
100,0  20,0   	20,30
 90,9  20,0   	20,40
100,0  20,0   	20,51
 90,9  20,2   	20,61
100,0  20,2   	20,71
100,0  20,2   	20,82
100,0  20,2   	20,92
100,0  20,2   	21,03
100,0  20,2   	21,13
100,0  20,2   	21,24
 90,9  20,3   	21,34
100,0  20,3   	21,45
 90,9  20,3   	21,55
100,0  20,3   	21,65
100,0  20,3   	21,76
100,0  20,3   	21,86
100,0  20,4   	21,97
100,0  20,4   	22,08
100,0  20,4   	22,18
 90,9  20,4   	22,28
100,0  20,4   	22,39
100,0  20,4   	22,50
100,0  20,4   	22,60
100,0  20,5   	22,70
 90,9  20,5   	22,80
100,0  20,5   	22,91
 90,9  20,5   	23,01
100,0  20,5   	23,12
 90,9  20,5   	23,22
100,0  20,5   	23,32
100,0  20,5   	23,43
 90,9  20,5   	23,53
100,0  20,5   	23,64
 90,9  20,5   	23,74
100,0  20,5   	23,85
 90,9  20,8   	23,95
100,0  20,9   	24,05
100,0  20,9   	24,16
 90,9  20,9   	24,26
100,0  20,9   	24,36
100,0  20,9   	24,47
100,0  21,0   	24,57
100,0  21,0   	24,68
100,0  21,0   	24,79
 90,9  21,0   	24,89
100,0  21,0   	25,00
100,0  21,1   	25,10
 90,9  21,2   	25,20
100,0  21,2   	25,31
 90,9  21,2   	25,41
100,0  21,2   	25,51
100,0  21,2   	25,62
100,0  21,3   	25,73
100,0  21,7   	25,83
 90,9  21,9   	25,93
100,0  21,9   	26,03
100,0  21,9   	26,14
100,0  21,9   	26,24
100,0  21,9   	26,35
100,0  22,1   	26,45
